GroupID	iscen	GroupPos	GroupM200
0.0	1.0	[ 41507.598  45925.918 149169.4  ]	1535790000000000.0
4.0	1.0	[ 78995.   123565.01 196266.53]	1307340100000000.0
2.0	1.0	[119074.37  66717.06 194927.27]	1033314400000000.0
63.0	1.0	[84383.266 80673.81  53422.19 ]	899670200000000.0
8.0	1.0	[135204.95   33458.066  33628.97 ]	841819700000000.0
7.0	1.0	[ 50277.625  77217.055 139063.02 ]	733527400000000.0
45.0	1.0	[170432.81 114329.37 157468.75]	459285180000000.0
41.0	1.0	[196971.94  115242.664 200580.33 ]	581220700000000.0
71.0	1.0	[ 46102.266 187664.81  100265.56 ]	398251600000000.0
1.0	1.0	[58672.344  8871.032 99112.41 ]	641211640000000.0
5.0	0.0	[ 39565.152  98050.33  111711.984]	635853500000000.0
31.0	1.0	[202781.97 115374.82 195684.84]	547336940000000.0
100.0	1.0	[167325.7   167952.38   57737.535]	655181560000000.0
3.0	1.0	[203659.03 104710.39 189418.67]	553877340000000.0
6.0	1.0	[102045.12   22163.928 138012.4  ]	437283200000000.0
11.0	0.0	[ 95353.21 104630.8   81770.54]	497315970000000.0
52.0	1.0	[159939.77 125559.12 165389.19]	379204240000000.0
33.0	1.0	[169017.94 175773.05 104321.56]	416661500000000.0
243.0	1.0	[ 18022.578 170845.88   14055.795]	407155200000000.0
44.0	1.0	[189174.28 103683.66 164673.42]	467371870000000.0
101.0	1.0	[ 73605.734  45375.98  157951.81 ]	431286800000000.0
17.0	1.0	[ 83493.21 142537.92 152710.81]	382146100000000.0
74.0	1.0	[157156.33  28896.36  88295.26]	360359570000000.0
29.0	0.0	[ 11637.209 124747.03  196447.28 ]	392225500000000.0
39.0	1.0	[145133.6    58954.094 138648.33 ]	367364900000000.0
34.0	1.0	[ 47166.1    41363.348 157365.33 ]	219906720000000.0
25.0	1.0	[ 52984.992 178206.64  103929.164]	278377270000000.0
14.0	1.0	[93303.164 31169.617  9067.098]	456104500000000.0
91.0	1.0	[ 17395.637 182539.95   56978.215]	471019470000000.0
43.0	1.0	[ 86222.81 192449.25  67262.61]	212362410000000.0
149.0	1.0	[ 52607.91   59252.293 140591.4  ]	389327340000000.0
88.0	1.0	[151816.58  96927.   178570.72]	390177380000000.0
79.0	1.0	[116501.75   64407.133  35430.65 ]	390393740000000.0
51.0	1.0	[ 33339.395  77479.086 144797.19 ]	369590800000000.0
47.0	1.0	[ 26629.555  39528.242 141144.89 ]	367825830000000.0
15.0	1.0	[49788.93  49464.45  61410.566]	381228080000000.0
87.0	1.0	[ 35094.816  42757.277 134499.61 ]	374208000000000.0
256.0	1.0	[145489.33   90711.664  64290.17 ]	197666880000000.0
122.0	1.0	[ 95082.375 190949.94  136040.33 ]	128062120000000.0
84.0	1.0	[ 80988.71 145024.86 105081.82]	334133460000000.0
46.0	1.0	[  8468.257    4948.1343 124159.01  ]	235068090000000.0
117.0	1.0	[28159.898 92061.83  84248.69 ]	357260800000000.0
70.0	1.0	[109870.445 149288.25  201529.05 ]	198878730000000.0
21.0	1.0	[43992.035 89015.19  82805.3  ]	343380720000000.0
19.0	1.0	[175446.22   29495.545 158185.03 ]	332506200000000.0
40.0	1.0	[81926.8   35772.53  11993.186]	305942900000000.0
129.0	1.0	[168985.02  183410.6    34021.414]	176415710000000.0
138.0	1.0	[128646.86   42282.06   39508.348]	183143580000000.0
10.0	1.0	[55699.62  47933.277  4256.768]	324151500000000.0
141.0	0.0	[197250.03 153001.94 186168.3 ]	324038740000000.0
123.0	0.0	[158885.47  102954.92   48846.332]	338210600000000.0
36.0	1.0	[ 52852.45  143075.03   80640.516]	316146540000000.0
93.0	1.0	[  2569.4421  91873.63   182592.4   ]	275655180000000.0
134.0	1.0	[ 24196.53  52450.84 188810.28]	184230530000000.0
23.0	1.0	[ 17631.182 140721.83   99413.36 ]	314248660000000.0
342.0	1.0	[ 81190.04   17737.957 144291.48 ]	242969400000000.0
205.0	1.0	[104099.83  89936.63 109519.33]	296168330000000.0
27.0	1.0	[100383.24  203428.1    33328.477]	301115830000000.0
18.0	1.0	[ 50285.562  30823.11  176186.39 ]	279208860000000.0
92.0	1.0	[47596.96  55130.016 64247.688]	213580420000000.0
			290497800000000.0
362.0	0.0	[149244.75   20758.578  77274.96 ]	255725190000000.0
263.0	1.0	[ 2208.8933  5782.8657 43765.086 ]	174374600000000.0
136.0	1.0	[144425.05   16910.283 144723.69 ]	282242000000000.0
24.0	1.0	[ 55338.246 187186.16   65278.43 ]	279798240000000.0
