GroupID	GroupPos	GroupR200
0	[ 41507.598  45925.918 149169.4  ]	1557.8904
1	[58672.344  8871.032 99112.41 ]	1435.6757
2	[119074.37  66717.06 194927.27]	1279.9478
3	[203659.03 104710.39 189418.67]	1125.4602
4	[ 78995.   123565.01 196266.53]	1175.6371
5	[ 39565.152  98050.33  111711.984]	975.87445
6	[102045.12   22163.928 138012.4  ]	1073.6304
7	[ 50277.625  77217.055 139063.02 ]	1253.0717
8	[135204.95   33458.066  33628.97 ]	1149.3811
9	[ 82856.55 120714.06 197130.31]	1136.4235
10	[55699.62  47933.277  4256.768]	997.2393
11	[ 95353.21 104630.8   81770.54]	1186.4669
12	[ 47758.65  70204.8  142946.02]	1078.572
13	[ 44556.71   55245.812 143955.5  ]	1170.0983
14	[93303.164 31169.617  9067.098]	1031.0798
15	[49788.93  49464.45  61410.566]	1159.7509
16	[ 44506.73   49661.883 149116.58 ]	1141.7899
17	[ 83493.21 142537.92 152710.81]	1102.7812
18	[ 50285.562  30823.11  176186.39 ]	1111.283
19	[175446.22   29495.545 158185.03 ]	1082.6234
20	[149115.67 179486.72  88304.92]	1083.2992
21	[43992.035 89015.19  82805.3  ]	981.2856
22	[170984.16  68724.84 166515.66]	1081.6005
23	[ 17631.182 140721.83   99413.36 ]	996.7915
24	[ 55338.246 187186.16   65278.43 ]	1006.0062
25	[ 52984.992 178206.64  103929.164]	998.83795
26	[177828.75  79870.07 204927.83]	1025.5259
27	[100383.24  203428.1    33328.477]	1023.4066
28	[81174.    73894.734 48617.35 ]	1020.91895
29	[ 11637.209 124747.03  196447.28 ]	1042.9851
30	[ 55452.492 136745.03   53016.875]	1016.6884
31	[202781.97 115374.82 195684.84]	751.2189
32	[197488.52 116236.26 203829.48]	976.93677
33	[169017.94 175773.05 104321.56]	1019.6468
34	[ 47166.1    41363.348 157365.33 ]	955.9684
35	[61593.246 45761.387 29693.79 ]	982.481
36	[ 52852.45  143075.03   80640.516]	864.6394
37	[105200.67     5206.3174  29447.318 ]	992.38965
38	[149672.56   52779.047 160365.7  ]	957.71106
39	[145133.6    58954.094 138648.33 ]	829.50354
40	[81926.8   35772.53  11993.186]	785.9569
41	[196971.94  115242.664 200580.33 ]	951.09766
42	[148888.73 130995.38 153343.4 ]	949.8843
43	[ 86222.81 192449.25  67262.61]	956.02734
44	[189174.28 103683.66 164673.42]	750.38464
45	[170432.81 114329.37 157468.75]	960.1005
46	[  8468.257    4948.1343 124159.01  ]	936.1868
47	[ 26629.555  39528.242 141144.89 ]	758.69037
48	[ 72640.45   12962.051 107328.94 ]	892.2372
49	[126536.88 180016.89  71748.4 ]	788.3569
50	[129668.734  97586.125  50629.156]	894.65814
51	[ 33339.395  77479.086 144797.19 ]	890.2936
52	[159939.77 125559.12 165389.19]	875.62634
53	[ 45917.336  55345.41  146292.94 ]	876.80756
54	[191436.33 107715.57 162085.05]	934.49896
55	[ 55204.62 137309.67  32113.99]	892.854
56	[184610.36   59379.688 174005.06 ]	886.368
57	[  1710.0913 113872.4    193043.6   ]	934.89465
58	[155237.38 117542.04 187728.8 ]	906.08527
59	[ 51885.773 109653.6   133402.34 ]	937.87006
60	[ 47274.67 192022.77 101616.35]	844.3083
61	[167447.02  57227.27  65348.82]	889.7613
63	[84383.266 80673.81  53422.19 ]	893.67444
64	[ 86873.25  162664.69    9830.687]	810.22974
65	[166022.34   31572.469 160861.08 ]	821.27124
66	[ 41889.297 138695.14  167031.64 ]	916.6097
67	[ 59487.605 127484.34   69868.305]	885.86633
69	[175771.47 116115.1  164853.8 ]	765.4008
71	[ 46102.266 187664.81  100265.56 ]	862.6415
72	[171976.05  22435.07 161972.16]	810.82294
74	[157156.33  28896.36  88295.26]	872.4993
75	[ 97235.25 115604.2  201510.75]	905.7794
76	[181854.97 188848.38 169221.88]	868.6207
78	[190747.27 144839.67 181963.28]	910.5358
79	[116501.75   64407.133  35430.65 ]	860.8116
80	[138771.34  47898.95 160059.4 ]	859.1172
81	[107023.55   90714.086 105898.305]	911.5356
82	[ 47409.918  65188.305 143562.16 ]	833.2039
84	[ 80988.71 145024.86 105081.82]	846.3006
85	[ 59161.535 203399.89   73469.58 ]	884.0843
86	[ 35133.816 172701.16   38535.062]	775.044
87	[ 35094.816  42757.277 134499.61 ]	802.313
88	[151816.58  96927.   178570.72]	874.62885
89	[101291.086 116535.77   23800.168]	878.52954
90	[178153.61 189588.55 134743.1 ]	794.7341
91	[ 17395.637 182539.95   56978.215]	896.5967
92	[47596.96  55130.016 64247.688]	849.1869
93	[  2569.4421  91873.63   182592.4   ]	850.87
94	[129319.625 147824.03  136837.66 ]	882.3024
95	[  1487.4291   1980.7155 142992.8   ]	876.27576
96	[148612.92   26132.908 110435.14 ]	832.2046
97	[ 33658.375  40524.387 137785.42 ]	868.73114
98	[ 43657.508 188250.53   82324.65 ]	857.5688
99	[ 42966.598 189856.5    86598.695]	820.57965
100	[167325.7   167952.38   57737.535]	797.2074
102	[123977.19   58440.207  26573.604]	763.82904
103	[135596.4    44197.906 149528.78 ]	856.5732
104	[ 22948.58  177687.23   18564.812]	777.932
107	[ 49791.42 184081.06 104016.83]	842.07477
108	[ 53755.066  51414.71  151560.33 ]	838.5336
111	[  8388.756 172852.64   82575.7  ]	843.3821
112	[149252.1   133584.55   60606.824]	857.95605
113	[199651.89 149094.97 168790.02]	847.4384
115	[ 99157.17   12907.036 129769.8  ]	857.2768
117	[28159.898 92061.83  84248.69 ]	754.9356
118	[146596.58   88521.086   6664.161]	787.8228
119	[199914.02  106995.4    30352.389]	810.59033
120	[ 88933.164 153534.5    60863.684]	787.49335
121	[ 72318.586 177520.6    51954.566]	835.382
122	[ 95082.375 190949.94  136040.33 ]	851.3515
123	[158885.47  102954.92   48846.332]	766.88605
124	[ 97869.83   26208.828 141984.56 ]	829.734
125	[ 23852.807 103919.914 142469.84 ]	847.0819
128	[ 54304.855 203339.14  136843.98 ]	827.1267
129	[168985.02  183410.6    34021.414]	836.6481
131	[92324.5     1727.3191 51711.316 ]	797.09467
132	[ 89786.88   20861.035 127995.445]	806.6912
133	[186869.38  71681.68 173237.6 ]	793.0201
134	[ 24196.53  52450.84 188810.28]	805.32367
136	[144425.05   16910.283 144723.69 ]	823.02594
137	[ 94712.46  144526.81   38267.477]	843.3148
138	[128646.86   42282.06   39508.348]	782.3624
140	[188550.73   12162.066 105803.94 ]	822.6312
141	[197250.03 153001.94 186168.3 ]	798.4934
142	[ 31585.16   14180.852 134163.88 ]	805.72327
143	[198457.62  50785.94  47970.56]	799.4487
146	[102470.03 148679.22 136828.31]	775.4523
148	[ 77964.75   47501.996 130993.57 ]	799.7737
150	[ 70860.484 107398.695  62131.293]	776.5783
152	[ 85149.79 132888.06 196539.23]	768.1979
153	[ 46386.992  76589.33  151339.22 ]	829.1184
154	[202315.03 154026.5  161498.3 ]	811.81775
155	[ 52890.188  64663.207 204536.02 ]	786.3396
158	[ 44869.035 182851.73   66354.19 ]	788.80133
159	[152322.62  128268.164 168027.42 ]	801.42676
160	[  8591.758 202479.28    4664.245]	807.9638
161	[103784.03   28557.191  57811.477]	803.7463
162	[177426.17  52717.27  54175.92]	763.66144
165	[135503.88 134400.05  78060.36]	791.90826
166	[185915.55 108121.65 191899.66]	758.42957
167	[54208.598 51029.664 55206.348]	768.70966
168	[182625.81     8087.148    3208.5596]	756.70935
169	[92507.664 78325.945 35382.23 ]	776.6913
170	[136418.56 160359.06 185883.64]	763.61383
172	[ 59849.152  19325.396 113658.02 ]	807.55853
173	[156080.55 126402.82 166732.62]	762.5361
175	[58968.234 29579.34  45373.46 ]	753.29663
176	[ 54818.6   135699.47   91902.086]	771.26184
178	[154658.61  63662.64 144599.34]	763.9931
182	[75535.484 39958.094 16559.209]	778.0157
183	[168807.64 185640.14  29013.  ]	777.6829
184	[43365.59  21427.94  51585.266]	754.60614
188	[ 5584.9067 58628.58   43967.426 ]	761.34875
189	[163502.52  167634.75   63152.996]	759.39655
190	[  3666.366  94376.3   186019.5  ]	770.0616
192	[121514.54  68549.99 199074.83]	792.3119
198	[179265.11  97739.93 163399.81]	769.70056
204	[129536.48  106157.984  83455.5  ]	757.76337
208	[143568.72 138937.44  34731.98]	767.80634
211	[  7698.652 152593.56   95791.766]	767.2815
